title,link,pubDate,author,category,rssDescription,fullPost
Legendary London,https://www.educationworldtravel.com/post/legendary-london,"Tue, 25 Jun 2024 05:22:20 GMT",Karen Anderson,England,"If you want to educate your children, London has it all! Great history, great art, great transport and great fun! The hardest thing when planning is to work out what to cut off the list of must-dos. What you choose, of course, will depend on the ages of your children and their interests. Tips for London Transport is easy (although expensive). Use the Tube  (underground railway system) and double decker buses  to get around. We found the Tube was an attraction in its own right for our little...","Legendary London

Karen Anderson

Jun 25, 2024

11 min read

Updated:

Nov 13, 2025

Rated NaN out of 5 stars.

If you want to educate your children, London has it all! Great history, great art, great transport and great fun! The hardest thing when planning is to work out what to cut off the list of must-dos. What you choose, of course, will depend on the ages of your children and their interests.

Tips for London

Transport is easy (although expensive). Use the

Tube

(underground railway system) and

double decker buses

to get around. We found the Tube was an attraction in its own right for our little travellers! It is easy to follow the maps and get to where you want to go, and this is a great activity to get the kids to do to work on their map reading and navigation skills. Paying for your trips is easy with a credit/debit card. We just used our special travel debit card which we had organised from the bank before we went.  Look up this site

:

https://tfl.gov.uk/travel-information/visiting-london/getting-around-london/best-ways-for-visitors-to-pay

for options. Children travel free if they are under 11 years old on many services. You can also take buses - in fact, this is my preferred method of transport, as you can see everything from the top of a double decker bus as you ride. Riding in a London Taxi cab is also a unique experience

Use the ordinary double decker buses to take a

bus tour

of the city. A few bus routes take you past some great sites without needing to spend a lot of money on a bus tour - look up Routes 11 and 24

Buying food out is expensive. We managed to find accomodation that supplied breakfast in their deal, and this was a good saving. Obviously, AirB&B's will save on needing to buy every meal out too. We used the

Marks and Spencer

(M&S)

pre-packaged meals for lunches or bought from

Pret

(which seems to be everywhere!)

The

London Pass

may be worthwhile buying. You will need to do your sums to find out, as it obviously depends on what you want to see and how much stamina your children have! As many of the things we wanted to see were free, it was not worth buying for us

General books about London

0-6 years

'

Madeline in London' by Ludwig Bemelmans

'This is London' by Miroslav Sasek

6-12 years

'

The Story of London' by Richard Brassey

'

Lonely Planet London: Not for Parents - Everything you Ever Wqnted to Know

' by Klay Lamprell

'Horrible Histories Awesome Guides: London' by Terry Deary

''

Katie in London'

by James Mayhew

'Oliver Twist and other Great Dickens Stories' by Marcia Williams (picture version)

12+ years

'Adventures of Sherlock Holmes' by Conan Doyle

'Oliver Twist' by Charles Dickens (for older children)

Films

'Paddington' and 'Paddington 2' films

'Mary Poppins' film

'Flushed Away' film

'Mr Bean' films

Activities

'Ticket to Ride: London' board game

Here is a list of places in London that we have found to be worth seeing to educate your children. There are so many more to explore, such as Buckingham Palace, the Horse Guards, Kensington Palace, London Eye, Westminster Abbey, the Natural History Museum etc, but we ran out of time!

The British Museum

If you see nothing else in London, I recommend that you take your kids to The British Museum: the oldest museum in the world. The history contained in this place is mind boggling, from Egyptian treasures to the Rosetta Stone. It's also well worth talking to your children about how the British obtained all these artefacts, and whether it is appropriate for them to still have them today.

'

Stuff the British Stole

'

f

rom the Australian Broadcasting Corporation (ABC) is a great podcast and TV series

that ponders this issue.

There are so many important things to see that it's hard to narrow it down, but here are some of my favourites for their educational value:

Rosetta Stone (the stone that unlocked the hieroglyphic language of ancient Egypt)

Bust of Ramesses the Great (Egyptian pharaoh)

Hoa Hakananai'a (from Easter Island)

The mummified cat (and all the other Egyptian items in these rooms)

Samurai armour

Ancient Greek pottery

Frieze from the Parthenon

Sutton Hoo helmet

Raphael drawings

Tips

Book tickets.

Entry is free, but the line to get in is often very long. I recommend that you book your tickets, and that way you can bypass some of the waiting time

Don't waste money on buying a map.

Either use the QR Codes to access one on your phone, or go right inside where the dome is -  free ones are given out at the information desks there

Read up about what you want to see before you go.

It is so much more interesting if you know something about what you are seeing! The kids then can be charged with finding that item in the museum

Don't try to see everything.

The museum is so immense (and so busy) that it can be overwhelming and exhausting. To make it manageable for our younger kids, we pick a few things that might be interesting.

Make a videoblog.

Get your kids to create a videoblog that shows and talks about what they find the most interesting

Get an educational backpack.

The British Museum have free educational backpacks that you can use for children

Audio guides:

these were only available for adults (at the time of writing), but they may interest older children

https://youtube.com/shorts/TLb0VJxHErQ?feature=share

After all of this history, you will need a rest and caffeine. What better way to relax than the court cafes which are on the ground floor? You can have a rest while gazing up at that spectacular domed roof.

Recommended Reading/Listening/Watching

ABC Podcast and TV series:

'Stuff the British Stole'

‘You Wouldn’t Want to be an Egyptian Mummy’ by David Stewart

‘The Golden Goblet’ by Eloise Jarvis McGraw

‘Pharaoh’ by Jackie French

'The Samurai's Tale' by Erik Christian Haugaard

National Gallery

Another one of my all-time favourites! This art gallery houses some incredible art within a spectacular old building.

Highlights to see are paintings by:  Rembrandt, Monet, Picasso, Da Vinci, Titian, Pissarro, Sauret, Rousseau, Turners, Stubbs, Cezanne, and Van Gogh to name just a few!

Tips

Book your tickets.

It is

free

to enter, but it is a good idea to book your tickets before you go, as the line can get very long

Read some books about artists and famous paintings before you go (see below).

Your children will no doubt be much more interested if they have a connection with a work of art. Our children loved finding 'their painting'

Take art supplies with you.

Try to bring a little blank notebook and some coloured pencils with you if possible. I recommend that you get your children to find their favourite painting and have a go reproducing it

Take a tour.

The National Gallery has great tours. We joined one for school students and got a lot out of it

Visit the gift shop.

This shop has fantastic books and prints in it, and is definitely worth a browse. We allowed our children to buy a small print of their favourite painting

Visit Trafalgar Square.

This square is right outside. It's a good opportunity to talk about the statue of Nelson on the top, risk death by climbing on the lion statues, and fight off all of those pigeons by the fountain

Books and Activities

The Katie books - a series by James Mayhew which is hands down the best art introduction for young children. It is well worth reading some of these before you go in - it will create so much more interest from your children in trying to spot some of the paintings.

'Katie's Picture Show

'

is especially good for pictures in the National Gallery, as well as

'

Katie in London'

for the lions outside

'

Usborne Famous Paintings: Magic Painting Book' (in association with the National Gallery, London)

'Usborne Young Reading: Nelson' by Minna Lacey

'

Dead Famous: Horatio Nelson and his Victory' by Phillip Reeve

'The Impressionist Art Game' by Wenda Brewster O'Reilly

This excellent game is now very expensive, but you might be able to pick up one secondhand!

Do a jigsaw puzzle of a famous painting such as this one by Rousseau that one of my children loved:

https://shop.nationalgallery.org.uk/jigsaw-1000-piece-surprised-1052069.html

Try an art project such as this scratch art one: ""

https://shop.nationalgallery.org.uk/scratch-art-craft-kit-inspired-by-van-gogh-1054159.html

Imperial War Museum

This extensive museum has great displays on WWI and WWII as well as peace-keeping missions. There are a number of mammoth floors, so choose what you want to see wisely! Many displays are interactive and engaging. Some are very confronting, so take care with younger children.

Tips

Free

and not ridiculously busy

This place has a

great cafe

. Stop awhile to refresh yourselves!

Read

some history before you go in, so that your children know some of what they're looking at

Books and Games

'

Armistice Runner' by Tom Palmer

'

I am David' by Anne Holm

'

Hitler's Daughter' by Jackie French

'

My Story: Road to War' by Valerie Wilding

'My Story: War Nurse' by Sue Reid

'My Story: The Trenches' by Jim Eldridge

'Horrible Histories: The Frightful First World War' by Terry Dear

y

'Dead Famous: Winston Churchill and his Great Wars'

by Alan MacDonald

'Usborne: The World Wars'

by Paul Dowswell

'Risk' board game

'Memoir 44' board game

(older children)

British Library

You perhaps wouldn't have thought to visit a library in London, but this library is absolutely worth the trip! What's more, it is another free activity that is usually not too crowded. The British Library houses some incredible gems in its 'Treasures' room, which are more likely to be appreciated by older children. Highlights include:

Shakespeare's First Folio

A poem by Michelangelo

Sketches done by Da Vinci

Scores from Mozart, Handel and The Beatles

Beethoven's tuning fork

A Gutenberg Bible

A Tyndale Bible owned by Anne Boleyn

The Lindesfarne Gospels

The Canterbury Tales

The Magna Carta

Books and Activities

Listen to some music by Beethoven, Mozart, Handel and The Beatles

Play the

Classical Kids CDs eg. 'Mozart's Magnificent Voyage' CD, 'Beethoven Lives Upstairs' CD, 'Hallelujah Handel' CD

Play the

'Beethoven's Wig' CD series

'Ludwig Beethoven and the Choming Tower Bells' by Opal Wheeler

'Mozart: The Wonder Boy' by Opal Wheeler

'Handel at the Court of Kings' by Opal Wheeler

'Dead Famous: William Shakespeare and his Dramatic Acts' by Andrew Donkin

'Bard of Avon: The Story of William Shakespeare' by Diane Stanley

'The Danger Zone: Avoid Being a Tudor Actor in Shakespeare's Theatre!' by Jacqueline Morley

'The Shakespeare Stealer' by Gary Blackwood

'Leonardo Da Vinci' by Diane Stanley

'Usborne Young Reading: Leonardo Da Vinci' by Karen Ball and Rosie Dickens

'Michelangelo' by Diane Stanley

'William Tyndale: The Smuggle's Flame' by Lori Rich

'Fineprint: A Story about Johann Gutenberg' by Joann Johansen Burch

'Chaucer's Canterbury Tales' by Marcia Williams

Greenwich

Visiting Greenwich is a bit of an effort and an all-day experience, but so worth it educationally. Where else can you talk about the latitude and longitude of the earth so well?

There is a lot to see at Greenwich, including:

The Royal Observatory- where Prime Meridian line is (ticketed)

The National Maritime Museum (free)

Queen's House (free)

Cutty Sark- an interesting old ship (ticketed)

Tips

Take the

ferry

(the Uber Thames one) there and back if you can. It is great to see London from the Thames, and you can point out landmarks as you go

Tickets for Greenwich can be confusing. The best option is the

'Combo' ticket

which includes Cutty Sark and the Royal Observatory

Cutty Sark

is an interesting ship to explore. Built in 1869, it was used to carry tea. It now has lots of hands-on exhibits for kids to play with and places to look around

The

National Maritime Museum

is well worth seeing. It also has lots of interactive displays and interesting artefacts eg Nelson’s actual coat, a ship simulator (my boys all loved this), a pocket watch from the Titanic, and an anchor from Roman times

Take the obligatory photo with a foot in each hemisphere at the

Prime Meridian

at the Observatory. This really helps cement kids' understanding of what the line means, and also sets up lots of discussion points about why Greenwich is the Prime Meridian

The Observatory is also the place to see the four timepieces made by John Harrison to find a

clock

that worked on ships and thus to navigate. This, again, is a great educational opportunity

Books and films

'Sea Clocks: The Story of Longitude' by Louise Borden

'Longitude' TV series directed by Charles Sturridge (for older viewers)

The Tower of London

This history-packed castle is an incredible place to visit. It's hard to avoid the crowds, but be sure to go anyway!

Tips

Book your ticket

and get there early

Make sure you take a free tour with one of the

Yeoman Warders

. Although they are very popular and tend to be crowded, they are very funny and it is well worth making the effort!

See the

Crown Jewels

(go early in here, as there are long lines) and the Koh-i-Noor. There is some controversy about the later item, which can be found out by watching the ABC program

'Stuff the British Stole: The Jewel of Denial'

Interesting places include the White Tower (which holds delights such as an executioner's block and armour worn by Henry VIII), Sir Walter Raleigh's study, the Beauchamp Tower (holding graffiti made by famous people), and the Bloody Tower (where it is suspected two princes were murdered)

Books

'You wouldn't want to be a prisoner in the Tower of London' by Fiona MacDonald

'The Dog who Loved a Queen' by Jackie French

'

Traitor in the Tower' by Neta Jackson

'Walter Raleigh: A Man of Two Worlds' Landmark book by Henrietta Buckmaster

'Horrible Histories: Henry VIII's Secret Diary' by Terry Deary

'Horrible Histories: Terrible Tudors' by Terry Deary

St Paul's Cathedral

St Paul’s is an incredible cathedral - well worth the expensive entry price (which apparently is for up-keeping of the building). There's quite a bit to see and talk about here: who designed this amazing Baroque building (Christopher Wren), how the other one burnt down in the Great Fire of London, who is buried in the crypt and what they are famous for, and even how pipe organs work!

Tips

Buy

tickets online

as they are more expensive at the door. You can go in free as a worshipper, but you will not be permitted to go into the main part of the cathedral (which is stunning) or up the dome

Definitely go up the

dome

. Although tiring with all of the stairs, this is very interesting and there are wonderful views of London from the top on the outside viewing platform

Visit the

crypt

where many well-known people are buried (eg Horatio Nelson, Alexander Fleming and Christopher Wren)

Try to visit at a time when you can hear the

organ

- it is amazing!

The

audio guide

is really engaging for kids

Books

'

Usborne Young Reading: Nelson' by Minna Lacey

'

Dead Famous: Horatio Nelson and his Victory' by Phillip Reeve

'You Wouldn't Want to be in the Great Fire of London' by Jim Pipe

The Globe

Another great educational opportunity not to be missed! Shakespeare's Globe theatre has been rebuilt after a fire, but it is still very worth seeing. It gives your children a great insight into how Shakespeare's plays are staged

Tips

Take the

tour

if possible to hear about the history of the Globe and Shakespeare

See a

production

of one of Shakespeare's plays. The standing tickets are very reasonably priced. Even if you think your kids won't understand a thing, you can just stay for a little while to soak up the atmosphere

Books and Films

'Shakespeare Can be Fun: Macbeth for kids' by Burdett Lois (or others in the series)

'Shakespeare's Hamlet for kids' by Brendan Kelso

(or others in the series).

These books provide short plays in everyday language which is great to act out if you have a number of children!

'Tales from Shakespeare' by Charles and Mary Lamb

'No Fear Shakespeare: Romeo and Juliet' by Sparknotes

(or others in the series).

This series has everyday English on one side of the page and the original text on the other

'Bard of Avon: The Story of William Shakespeare' by Diane Stanley

'Terry Deary's Best Ever Shakespeare Tales' by Terry Deary

'The Shakespeare Stealer' by Gary Blackwood

'Dead Famous: William Shakespeare and his Dramatic Acts' by Andrew Donkin and Clive Goddard

'Tales from Shakespeare' by Marcia Williams (picture version)

'Gnomeo and Juliet' film (a butchered 'Romeo and Juliet' kids' version)

'William Shakespeare's Romeo and Juliet' film by Baz Luhrman (older children)

Buckingham Palace, 10 Downing Street and the Horse Guards

You can't really go to London and not see Buckingham Palace! You can watch the changing of the guards at the palace if you get there about 11am (but check the times when you're visiting, as it may change). We strolled through the parks to also walk past the Horse Guards (always a favourite for me) and 10 Downing Street (office of the Prime Minister).

Books

'When We Were Very Young' by A A Milne

(contains the poem: 'Buckingham Palace')

'The Beast at Buckingham Palace' by David Walliams

Diana Memorial Playground in the Kensington Gardens

This is a playground that we stumbled upon that the children loved. It has a huge pirate ship to play in, a sensory trail, teepees, and plenty of sand. I highly recommend visiting this if everyone has had enough of sightseeing! Kensington Gardens also includes a Peter Pan sculpture, not to mention beautiful  fountains and flowers to sit by and enjoy life!

Books

'Peter Pan' by J M Barrie

(book or Disney film)

'Usborne: 1001 Pirate things to Spot' by Rob Lloyd Jones

'Tough Boris' by Mem Fox

(

picture book)

'The Magic Treehouse: Pirates Past Noon' by Mary Pope Osborne

England"
Outstanding Oxford,https://www.educationworldtravel.com/post/outstanding-oxford-1,"Wed, 09 Aug 2023 19:20:10 GMT",Karen Anderson,England,"Oxford, the home of one of the most famous universities in England, is a really interesting place to visit. We only had one day here on our recent trip, so we were only able to scratch the surface. Here’s some tips and ideas for visiting there with your kids!  What is there to do in Oxford? The University of Oxford  is not to be missed. It is the oldest known English-speaking university in the world (dating from 1096). So many famous people have attended or have taught here. It is a little...","Outstanding Oxford

Karen Anderson

Aug 10, 2023

4 min read

Updated:

Nov 13, 2025

Rated NaN out of 5 stars.

Oxford, the home of one of the most famous universities in England, is a really interesting place to visit. We only had one day here on our recent trip, so we were only able to scratch the surface. Here’s some tips and ideas for visiting there with your kids!

What is there to do in Oxford?

The

University of Oxford

is not to be missed. It is the oldest known English-speaking university in the world (dating from 1096). So many famous people have attended or have taught here. It is a little confusing to visit, however, as the university’s 39 different colleges are spread throughout the city.

One really great place to go to is Christ Church, founded by King Henry VIII. This is one of the University of Oxford’s many colleges. We booked in for a self-guided tour with an audio guide. Although it was expensive and quite a small tour, it was amazing to see the Great Hall. They still serve three meals a day in this hall! It has become especially famous through the Harry Potter films (although they created a replica of the hall in their studios), but it was also a source of inspiration from which Lewis Carroll produced his ‘Alice in Wonderland’ Mad Hatter’s tea party. It seems that Mr Carroll received much inspiration from the college, as the main character from his novel was also based on the Dean of Christ Church’s daughter, Alice Liddell. The Great Hall contains the portraits of many famous people who studied here (including 13 prime ministers, King Edward VII, W H Auden and Lewis Carroll – listed as Charles Dodgson). The hall is closed while meals are served, so time your visit to suit this.

The Great Hall

What a place to get your meal served!

Other interesting highlights of the tour included a staircase also used in the Harry Potter films, and a quad and clock tower designed by Christopher Wren (the same architect who designed St Paul’s Cathedral in London). In addition, Christ Church claims that it has the oldest form of graffiti on record, which is on a door and states ‘Peel’. Apparently it is a protest against Robert Peel, the Prime Minister in the early 19th century. Surely there’s some older graffiti somewhere in the world?! There are also drawings by da Vinci, Michelangelo and Raphael in the Christ Church Picture Gallery (although we didn’t see these as we didn’t know they were there!). The Christ Church Cathedral is stunning, and you can go inside as part of the same tour.

Wren’s tower and quad

You can also see the magnificent Meadow Building without having to  buy a ticket.

The Meadow Building

Another great place to visit in Oxford was the free

Ashmolean Museum

– an unexpected delight. We wandered in to fill in a few minutes, and discovered incredible Egyptian mummies and frescos, plus figurines from around 2000BC, all with no crowds of people disrupting our view (unlike at the British Museum). This museum also houses a Stradivarius violin, a Jericho skull from 7000BC, sketches from Michelangelo and Raphael, paintings by Pissarro, samurai armour, and Guy Fawkes’ lantern among other treasures. Don’t miss these like we did!

A mummified cat

More mummies

Both J R R Tolkien and C S Lewis attended the University of Oxford. These famous authors used to be part of an informal group of writers, the Inklings, who met together in the 1930s and 1940s to critique each other’s work. One of the sites of these club meetings was at the

Eagle and Child Pub

. We tried to go inside for a look, but alas, it was closed.

The

River Thames

is a pretty place to visit, particularly if you like ‘messing about with boats’. It’s also fun just to walk around the many beautiful old buildings in the city. I’m sure that we missed a lot of treasures – Bodleian Library being one, but you can’t do everything in just one day! Oxford…well worth a visit!

Why would you visit Oxford as a homeschooler?

Oxford is the site of the oldest university in the world. Show your kids the amazing buildings and museums, and wander around the old streets. Connect with their literary favourites, particularly if they have read the Narnia books, the Lord of the Rings series, the Harry Potter series and ‘Alice in Wonderland’. Inspire them to want to study in such a place…our 20 year old decided it was the perfect place to do a PhD once he has finished his current Bachelor’s!

My tips for Oxford

🏴󠁧󠁢󠁥󠁮󠁧󠁿 It’s tricky to park in Oxford, as many areas are off-limits, but it is possible to park in car parks if you arrive early enough. Another option is to park on the outskirts and take the shuttle bus in to the city (there is a fee)

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Book ahead to see inside Christ Church as it is extremely popular! Here is the website to book tickets on:

https://www.chch.ox.ac.uk/tickets

🏴󠁧󠁢󠁥󠁮󠁧󠁿 We only spent one day at Oxford due to lack of time. You could easily spend much longer here

Book suggestions

The Narnia series by C S Lewis.

My all time favourite children’s series. Start with

‘The Magician’s Nephew’

. The Narnia series can also be found in an excellent radio drama as audiobooks, and some titles are now films (which is always fun if you’ve read the book first). For older students, read some of Lewis’ thought-provoking texts such as

‘The Screwtape Letters’

The Lord of the Rings series by Tolkien

. Start with ‘The Hobbit’. These titles have also been made into films (which, although very gory in my opinion, have fabulous scenery!)

If your kids get right into Egyptian history after seeing the mummies, try

‘You Wouldn’t Want to be an Egyptian Mummy’ by David Stewart

, or a historical fiction for older readers such as

‘The Golden Goblet’ by Eloise Jarvis McGraw

or

‘Pharaoh’ by Jackie French

Ideas for education

Find out some of the history of the University of Oxford

Learn about some famous people who have attended the University of Oxford (C S Lewis, Lewis Carroll, J R R Tolkien, Theresa May, Dorothy Hodgkin etc)

Find out more about Egypt (after seeing the Ashmolean Museum)

Learn about how medieval houses are constructed

The University of Oxford has produced many Nobel Prize winners. Find out what this is and about Alfred Nobel – you could get the excellent book:

‘Alfred Nobel: the Man Behind the Peace Prize

’

Buy my

Nobel Peace Prize Unit Study

!

England"
Capering about the Cotswolds,https://www.educationworldtravel.com/post/capering-about-the-cotswolds,"Wed, 09 Aug 2023 06:20:12 GMT",Karen Anderson,"Trips, England","If you want to stay in one of the prettiest villages in England, stay at Bibury in the Cotswolds. It’s not a place to go if you’re looking for lots of things to do, but it has a quiet village atmosphere with beautiful old cottages everywhere you look.  Hanging out with the locals  Stroll around the quaint village and walk along the most famous street: Arlington Row. This street is said to be one of the most photographed in the whole of England, and has been in a number of films. The spot gets...","Capering about the Cotswolds

Karen Anderson

Aug 9, 2023

3 min read

Updated:

Nov 17, 2025

Rated NaN out of 5 stars.

If you want to stay in one of the prettiest villages in England, stay at Bibury in the Cotswolds. It’s not a place to go if you’re looking for lots of things to do, but it has a quiet village atmosphere with beautiful old cottages everywhere you look.

Hanging out with the locals

Stroll around the quaint village and walk along the most famous street: Arlington Row. This street is said to be one of the most photographed in the whole of England, and has been in a number of films. The spot gets very busy with tourists, so it’s best to pick the early morning or late afternoon if you want to go without the hordes. Most of them just roll in on the buses, get out for a few minutes to walk along the row and take a photo, and then roll out again, which certainly misses the quiet beauty of the place. Arlington Row dates back to the 1380s.

Strolling along Arlington Row

There’s a fish farm to visit (at extortionate prices, so we didn’t bother), a local pub to eat at, and a more upmarket pub, ‘The Swan’, where we enjoyed a drink in their lovely garden by the stream.

Bibury is a good place to base yourself to visit the rest of what that region has to offer. Many other pretty Cotswolds towns are close by, and we enjoyed the old city section of a larger one, Cirencester.

We also loved doing a hike from Bibury to a nearby village, Coln St Aldwyns – a round trip of about 10km. We found that a nice lunch once we got to the other village helped keep our 10 year old motivated! There are many other smaller walks you can do around the countryside.

Why would you go to Bibury as a homeschooler?

Bibury is a great place to go to experience quiet village life in England. There is a huge amount of history in the town dating back to the Iron Age, with many old buildings. St Mary’s Church dates right back to at least the 12th century. Take your children here to glimpse what a village would have looked like in the Middle Ages. There are also many beautiful walks in the area to enjoy as a family.

My tips for the region

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Try to get the kids involved in planning a walk. The 164km Cotswold Way trail runs nearby (see

https://www.nationaltrail.co.uk/en_GB/trails/cotswold-way/

), but you don’t have to walk the whole way!! There are also masses of other walks to do around Bibury

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Look out for any animals and plants that are native to the region and learn about them. There are plenty of birds, as the meadow at the front of Arlington Row is a haven for wildfowl

🏴󠁧󠁢󠁥󠁮󠁧󠁿 We spent 4 full days in Bibury which was a good length of time for us – enough time to look around at a leisurely pace and venture further to see some other towns. You could easily spend a lot longer if you loved walking! It is within striking distance to other picturesque towns such as Bourton-on-the-Water, as well as interesting places such as Stratford-upon-Avon (Shakespeare’s birthplace) and Oxford

Book suggestions (read aloud or read for themselves)

We saw many swans in Bibury. For younger children (ages 5 and up):

‘The Silver Swan’ by Michael Morpurgo

For older children (ages 10 up): ‘

The Wool Pack’ by Cynthia Harnett

or ‘

The Trumpet of the Swan’ by E B White

Ideas for education

Swans – cygnets, diet, partners for life etc. You can download my ebook which has a unit study all about swans from the Teachers Pay Teachers site

here

Dry stone walls – how are they made?

The history of Arlington Row. Briefly, it was built in the late 14th century to store wool, and later used as cottages for weavers of woollen cloth in the 17th century. There is also an important meadow in front of it called the ‘Rock Isle’ (which I thought needed a good mow until I realised it’s historical significance!). This was used to hang items out to dry. See the website:

https://www.bibury.com/arlington-row/

for more information

Wool production throughout history compared to now; wool and the Cotswolds/England

Sheep- different breeds for different purposes, what is needed to keep them healthy, types of wool etc.

The history of the Cotswolds

Buy our ""Swans: a unit study"" guide! Read the description and make the purchase below

Buy ""Swans: A Unit Guide"" to support us

Trips

England"
Gatwick,https://www.educationworldtravel.com/post/gatwick-1,"Thu, 29 Jun 2023 15:11:04 GMT",Karen Anderson,England,"Our early morning flight to London went without a hitch. We flew Emirates on an A380, where Tim thought he had the best meal he’d ever eaten on a plane in his life. Matthew decided he was in paradise, with 24 hours of movie-watching and food delivered to his seat! Even though the middle of the night start was hard, it meant we arrived to London in the evening and could go straight to bed. Hopefully, this makes getting into the time zone a little easier.   After a long flight from Australia,...","Gatwick

Karen Anderson

Jun 30, 2023

1 min read

Updated:

May 22, 2024

Rated NaN out of 5 stars.

Our early morning flight to London went without a hitch. We flew Emirates on an A380, where Tim thought he had the best meal he’d ever eaten on a plane in his life. Matthew decided he was in paradise, with 24 hours of movie-watching and food delivered to his seat! Even though the middle of the night start was hard, it meant we arrived to London in the evening and could go straight to bed. Hopefully, this makes getting into the time zone a little easier.

After a long flight from Australia, the last thing you feel like doing is fiddling around hiring a car and driving to a hotel. We decided to spurge and make it easier for ourselves by staying at the Sofitel Gatewick. What a relief to pick up our luggage and stroll over to our hotel in the terminal!

England"
